X.Phenotype.,SGN,subpopulation
YL_251_YL_251,120.67,zz
YL_252_YL_252,112.67,xx
YL_253_YL_253,108.67,yy
YL_254_YL_254,88.67,zz
YL_255_YL_255,71,xx
YL_258_YL_258,64.33,xx
YL_259_YL_259,68.33,yy
YL_26_YL_26,59.33,zz
YL_260_YL_260,60.67,xx
YL_262_YL_262,87,yq
YL_263_YL_263,72,zz
YL_265_YL_265,67,yq
YL_266_YL_266,72.67,zz
YL_268_YL_268,101,xx
YL_273_YL_273,84.33,zz
YL_274_YL_274,85.33,yq
YL_275_YL_275,57.33,yy
YL_276_YL_276,84.67,yy
YL_28_YL_28,57,xx
YL_280_YL_280,96.33,zz
YL_281_YL_281,30.67,yy
YL_283_YL_283,85.67,zz
YL_287_YL_287,66,xx
YL_289_YL_289,74,zz
YL_29_YL_29,70.33,yq
YL_290_YL_290,113.33,zz
YL_291_YL_291,117,xx
YL_293_YL_293,53.67,yy
YL_294_YL_294,58.33,zz
YL_299_YL_299,87.5,xx
YL_3_YL_3,48.67,xx
YL_30_YL_30,86.67,yy
YL_305_YL_305,86,zz
YL_306_YL_306,100,xx
YL_307_YL_307,47,yq
YL_31_YL_31,57.33,yq
YL_310_YL_310,29.67,yy
YL_315_YL_315,94,yy
YL_316_YL_316,50,xx
YL_317_YL_317,47,zz
YL_318_YL_318,47.5,yy
YL_319_YL_319,36.5,zz
YL_32_YL_32,77,xx
YL_320_YL_320,21,zz
YL_321_YL_321,52.33,yq
YL_323_YL_323,47.33,zz
YL_324_YL_324,92,xx
YL_325_YL_325,82,yy
YL_33_YL_33,108,zz
YL_330_YL_330,81.33,xx
YL_34_YL_34,96.67,xx
YL_342_YL_342,22,yy
YL_345_YL_345,117,zz
YL_346_YL_346,71.67,xx
YL_347_YL_347,97.5,yq
YL_348_YL_348,59.67,yq
YL_349_YL_349,25,yy
YL_35_YL_35,61.33,yy
YL_350_YL_350,64.67,xx
YL_351_YL_351,85,zz
YL_352_YL_352,119.33,yy
YL_353_YL_353,100,zz
YL_354_YL_354,110,xx
YL_355_YL_355,45.33,zz
YL_356_YL_356,156,yq
YL_357_YL_357,33,zz
YL_358_YL_358,79.67,xx
YL_359_YL_359,27,yy
YL_36_YL_36,77.67,zz
YL_366_YL_366,68,xx
YL_367_YL_367,104.33,xx
YL_37_YL_37,93,yy
YL_370_YL_370,36.67,zz
YL_371_YL_371,91.67,xx
YL_373_YL_373,92.67,yq
YL_377_YL_377,37,yq
YL_380_YL_380,18,yy
YL_384_YL_384,39,yy
YL_385_YL_385,69,xx
YL_387_YL_387,40,zz
YL_39_YL_39,108.67,yy
YL_4_YL_4,97.67,zz
YL_403_YL_403,128,xx
YL_405_YL_405,78.67,zz
YL_408_YL_408,27,yq
YL_411_YL_411,207.67,zz
YL_412_YL_412,129,xx
YL_413_YL_413,40,yy
YL_415_YL_415,87.67,zz
YL_416_YL_416,117.33,xx
YL_417_YL_417,85.67,xx
YL_418_YL_418,66,yy
YL_419_YL_419,105.33,zz
YL_420_YL_420,38.67,xx
YL_422_YL_422,86.67,yq
YL_424_YL_424,102.67,yq
YL_426_YL_426,82.67,yy
YL_427_YL_427,91.5,yy
YL_428_YL_428,84.67,xx
YL_43_YL_43,130.67,zz
YL_430_YL_430,59,yy
YL_432_YL_432,25.67,zz
YL_435_YL_435,45.67,xx
YL_437_YL_437,122.33,zz
YL_443_YL_443,53,yq
YL_444_YL_444,55,zz
YL_445_YL_445,64,xx
YL_446_YL_446,44.33,yy
YL_447_YL_447,95,zz
YL_448_YL_448,64,xx
YL_449_YL_449,49.67,xx
YL_450_YL_450,65,yy
YL_451_YL_451,55.67,zz
YL_452_YL_452,81.67,xx
YL_454_YL_454,80,yq
YL_455_YL_455,32.67,yq
YL_456_YL_456,48.67,yy
YL_459_YL_459,106.33,yy
YL_46_YL_46,102,xx
YL_460_YL_460,86.67,zz
YL_461_YL_461,102.67,yy
YL_463_YL_463,113.33,zz
YL_464_YL_464,81,xx
YL_467_YL_467,98.67,zz
YL_47_YL_47,132.67,yq
YL_474_YL_474,38,zz
YL_475_YL_475,78,xx
YL_481_YL_481,78.33,yy
YL_485_YL_485,94.33,zz
YL_487_YL_487,48.5,xx
YL_488_YL_488,41,xx
YL_489_YL_489,67,yy
YL_494_YL_494,71,zz
YL_495_YL_495,40,xx
YL_497_YL_497,68,yq
YL_498_YL_498,59,zz
YL_500_YL_500,44,yq
YL_501_YL_501,85.33,zz
YL_505_YL_505,40.33,xx
YL_506_YL_506,58,zz
YL_507_YL_507,72,yq
YL_512_YL_512,66,yy
YL_520_YL_520,48.33,yy
YL_521_YL_521,46.33,xx
YL_523_YL_523,77.33,zz
YL_524_YL_524,67,yy
YL_530_YL_530,45,zz
YL_531_YL_531,98,xx
YL_538_YL_538,125.67,zz
YL_54_YL_54,87.33,yq
YL_540_YL_540,70,zz
YL_542_YL_542,65.67,xx
YL_545_YL_545,114.67,yy
YL_547_YL_547,82.67,zz
YL_548_YL_548,73.67,xx
YL_550_YL_550,69,xx
YL_551_YL_551,48.67,yy
YL_552_YL_552,61.67,zz
YL_554_YL_554,30.67,xx
YL_558_YL_558,60,yq
YL_56_YL_56,75,yq
YL_560_YL_560,77.67,yy
YL_561_YL_561,66,yy
YL_563_YL_563,45,xx
YL_568_YL_568,74.67,zz
YL_569_YL_569,62.67,yy
YL_57_YL_57,80.33,zz
YL_570_YL_570,78.67,xx
YL_571_YL_571,74.67,zz
YL_572_YL_572,73,yq
YL_573_YL_573,67.33,zz
YL_575_YL_575,62.33,xx
YL_58_YL_58,116,yy
YL_580_YL_580,65.67,zz
YL_582_YL_582,40.67,xx
YL_587_YL_587,51,xx
YL_588_YL_588,65.67,yy
YL_59_YL_59,119,zz
YL_593_YL_593,30,xx
YL_597_YL_597,52.33,yq
YL_60_YL_60,115,yq
YL_601_YL_601,98.33,yy
YL_604_YL_604,63,yy
YL_605_YL_605,79.67,xx
YL_606_YL_606,46.67,zz
YL_61_YL_61,95.67,yy
YL_616_YL_616,75.67,zz
YL_62_YL_62,129.67,xx
YL_625_YL_625,58,zz
YL_627_YL_627,70,yq
YL_628_YL_628,86.67,zz
YL_630_YL_630,100.33,xx
YL_633_YL_633,52.33,yy
YL_634_YL_634,36.67,zz
YL_639_YL_639,77.33,xx
YL_64_YL_64,115,xx
YL_640_YL_640,64.67,yy
YL_641_YL_641,38.5,zz
YL_642_YL_642,61.67,xx
YL_645_YL_645,80,yq
YL_650_YL_650,71,yq
YL_651_YL_651,41.67,yy
YL_653_YL_653,70.67,yy
YL_656_YL_656,86.33,xx
YL_657_YL_657,57,zz
YL_659_YL_659,32,yy
YL_66_YL_66,115.33,zz
YL_660_YL_660,65.67,xx
YL_664_YL_664,57,zz
YL_67_YL_67,59.33,yq
YL_670_YL_670,128,zz
YL_671_YL_671,103.33,xx
YL_673_YL_673,102,yy
YL_674_YL_674,53.67,zz
YL_678_YL_678,88,xx
YL_679_YL_679,30,xx
YL_68_YL_68,67,yy
YL_680_YL_680,78.5,zz
